label,label_tax,pool_label,pool_tax,holdout,Baltimore,N,features,k,AUC,Acc,Spec,Sens,Prec,TP,TN,FP,FN
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,3,0.906,0.811,0.756,0.867,0.78,39,34,11,6
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,4,0.839,0.756,0.756,0.756,0.756,34,34,11,11
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,5,0.921,0.867,0.889,0.844,0.884,38,40,5,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,6,0.94,0.856,0.867,0.844,0.864,38,39,6,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,7,0.951,0.867,0.889,0.844,0.884,38,40,5,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,8,0.956,0.856,0.956,0.756,0.944,34,43,2,11
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,DNA,9,0.867,0.689,1.0,0.378,1.0,17,45,0,28
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,AA,1,0.852,0.744,0.711,0.778,0.729,35,32,13,10
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,AA,2,0.886,0.8,0.733,0.867,0.765,39,33,12,6
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,AA,3,0.964,0.911,1.0,0.822,1.0,37,45,0,8
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,AA,4,0.961,0.733,1.0,0.467,1.0,21,45,0,24
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,1,0.706,0.7,0.622,0.778,0.673,35,28,17,10
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,2,0.798,0.711,0.689,0.733,0.702,33,31,14,12
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,3,0.827,0.756,0.711,0.8,0.735,36,32,13,9
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,4,0.906,0.811,0.889,0.733,0.868,33,40,5,12
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,5,0.898,0.756,0.956,0.556,0.926,25,43,2,20
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,PC,6,0.867,0.756,1.0,0.511,1.0,23,45,0,22
